ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,1114618
2,9.5,霸王别姬,813342
3,9.4,这个杀手不太冷,1033089
4,9.4,阿甘正传,880878
5,9.5,美丽人生,514167
6,9.3,泰坦尼克号,819412
7,9.3,千与千寻,820127
8,9.4,辛德勒的名单,465282
9,9.3,盗梦空间,908247
10,9.3,机器人总动员,598589
11,9.3,忠犬八公的故事,576314
12,9.2,三傻大闹宝莱坞,816430
13,9.2,海上钢琴师,689514
14,9.2,放牛班的春天,553297
15,9.2,大话西游之大圣娶亲,607721
16,9.1,楚门的世界,582852
17,9.2,教父,411213
18,9.1,龙猫,506182
19,9.2,星际穿越,605426
20,9.2,熔炉,336843
21,9.1,无间道,494316
22,9.2,触不可及,441752
23,9.2,乱世佳人,316440
24,9.0,当幸福来敲门,651417
25,8.9,怦然心动,693733
ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,1114618
2,9.5,霸王别姬,813342
3,9.4,这个杀手不太冷,1033089
4,9.4,阿甘正传,880878
5,9.5,美丽人生,514167
6,9.3,泰坦尼克号,819412
7,9.3,千与千寻,820127
8,9.4,辛德勒的名单,465282
9,9.3,盗梦空间,908247
10,9.3,机器人总动员,598589
11,9.3,忠犬八公的故事,576314
12,9.2,三傻大闹宝莱坞,816430
13,9.2,海上钢琴师,689514
14,9.2,放牛班的春天,553297
15,9.2,大话西游之大圣娶亲,607721
16,9.1,楚门的世界,582852
17,9.2,教父,411213
18,9.1,龙猫,506182
19,9.2,星际穿越,605426
20,9.2,熔炉,336843
21,9.1,无间道,494316
22,9.2,触不可及,441752
23,9.2,乱世佳人,316440
24,9.0,当幸福来敲门,651417
25,8.9,怦然心动,693733
ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,1114618
2,9.5,霸王别姬,813342
3,9.4,这个杀手不太冷,1033089
4,9.4,阿甘正传,880878
5,9.5,美丽人生,514167
6,9.3,泰坦尼克号,819412
7,9.3,千与千寻,820127
8,9.4,辛德勒的名单,465282
9,9.3,盗梦空间,908247
10,9.3,机器人总动员,598589
11,9.3,忠犬八公的故事,576314
12,9.2,三傻大闹宝莱坞,816430
13,9.2,海上钢琴师,689514
14,9.2,放牛班的春天,553297
15,9.2,大话西游之大圣娶亲,607721
16,9.1,楚门的世界,582852
17,9.2,教父,411213
18,9.1,龙猫,506182
19,9.2,星际穿越,605426
20,9.2,熔炉,336843
21,9.1,无间道,494316
22,9.2,触不可及,441752
23,9.2,乱世佳人,316440
24,9.0,当幸福来敲门,651417
25,8.9,怦然心动,693733
26,9.1,天堂电影院,351971
27,9.1,疯狂动物城,648596
28,9.1,蝙蝠侠：黑暗骑士,399357
29,9.4,十二怒汉,202414
30,9.2,鬼子来了,281349
31,9.1,活着,331590
32,9.0,少年派的奇幻漂流,679396
33,9.0,搏击俱乐部,451888
34,9.1,指环王3：王者无敌,334235
35,9.0,天空之城,392076
36,8.9,飞屋环游记,593134
37,8.9,大话西游之月光宝盒,489083
38,9.6,控方证人,127777
39,8.9,罗马假日,451972
40,9.1,窃听风暴,265831
41,9.1,两杆大烟枪,311227
42,9.0,飞越疯人院,314710
43,8.9,闻香识女人,382221
44,8.9,哈尔的移动城堡,421383
45,9.2,辩护人,260077
46,9.1,摔跤吧！爸爸,577455
47,8.8,V字仇杀队,495472
48,9.3,海豚湾,206137
49,9.0,死亡诗社,329091
50,9.1,教父2,221801
51,9.0,指环王2：双塔奇兵,313803
52,8.9,美丽心灵,352508
53,8.9,指环王1：魔戒再现,351249
54,9.1,饮食男女,240298
55,8.8,情书,432705
56,9.1,美国往事,201757
57,8.9,狮子王,329387
58,9.1,素媛,223478
59,9.0,钢琴家,232373
60,9.2,小鞋子,165310
61,8.7,七宗罪,490317
62,8.7,天使爱美丽,545751
63,8.9,被嫌弃的松子的一生,344365
64,8.8,致命魔术,396905
65,8.8,本杰明·巴顿奇事,450501
66,8.8,西西里的美丽传说,414314
67,8.9,音乐之声,265368
68,8.8,勇敢的心,328458
69,8.9,拯救大兵瑞恩,280449
70,8.7,让子弹飞,730939
71,8.8,黑客帝国,326983
72,8.8,低俗小说,387287
73,8.7,看不见的客人,425739
74,8.7,剪刀手爱德华,550989
75,8.7,沉默的羔羊,401963
76,8.7,蝴蝶效应,436926
77,9.3,大闹天宫,122929
78,8.8,入殓师,350178
79,9.0,末代皇帝,208674
80,8.8,春光乍泄,286754
81,8.8,心灵捕手,314353
82,8.9,玛丽和马克思,253368
83,8.8,阳光灿烂的日子,312758
84,8.8,哈利·波特与魔法石,312756
85,8.8,布达佩斯大饭店,374402
86,8.8,幽灵公主,267383
87,8.8,第六感,266140
88,8.7,禁闭岛,414635
89,8.7,重庆森林,380128
90,8.8,猫鼠游戏,274316
91,9.0,狩猎,153947
92,8.7,致命ID,364881
93,8.7,断背山,363600
94,8.7,大鱼,285541
95,8.8,甜蜜蜜,258880
96,8.9,穿条纹睡衣的男孩,177863
97,8.7,射雕英雄传之东成西就,311744
98,8.6,加勒比海盗,397553
99,8.7,告白,386376
100,8.9,一一,174900
101,8.8,阳光姐妹淘,304911
102,8.6,阿凡达,599120
103,9.2,摩登时代,105386
104,8.9,上帝之城,173050
105,8.7,爱在黎明破晓前,252082
106,8.7,消失的爱人,409635
107,8.8,风之谷,198741
108,8.8,侧耳倾听,195067
109,8.8,爱在日落黄昏时,223834
110,8.8,超脱,199787
111,8.6,倩女幽魂,296470
112,8.7,恐怖直播,261004
113,8.9,红辣椒,156744
114,8.9,小森林 夏秋篇,159789
115,8.6,喜剧之王,367657
116,8.7,菊次郎的夏天,212749
117,8.7,驯龙高手,324923
118,8.7,幸福终点站,251650
119,8.7,萤火虫之墓,227240
120,8.7,借东西的小人阿莉埃蒂,244732
121,8.5,神偷奶爸,434619
122,8.6,岁月神偷,336222
123,9.2,七武士,87292
124,8.7,杀人回忆,233985
125,8.8,喜宴,157704
126,8.5,贫民窟的百万富翁,430099
127,8.7,电锯惊魂,220725
128,8.6,怪兽电力公司,276284
129,8.7,谍影重重3,201186
130,8.5,真爱至上,346006
131,8.6,东邪西毒,283088
132,8.5,记忆碎片,309851
133,8.5,黑天鹅,460769
134,9.0,海洋,105288
135,8.7,疯狂原始人,412238
136,8.6,雨人,228003
137,8.9,小森林 冬春篇,138200
138,8.9,卢旺达饭店,134921
139,8.7,哈利·波特与死亡圣器(下),308458
140,8.6,英雄本色,194937
141,8.7,7号房的礼物,202857
142,8.8,萤火之森,184117
143,8.8,请以你的名字呼唤我,208762
144,8.9,虎口脱险,117090
145,8.7,燃情岁月,159970
146,8.6,心迷宫,206914
147,8.8,荒蛮故事,165542
148,8.5,傲慢与偏见,339735
149,8.6,海边的曼彻斯特,227758
150,8.8,教父3,147902
151,8.6,超能陆战队,422037
152,8.4,唐伯虎点秋香,383895
153,8.7,纵横四海,167879
154,8.5,恋恋笔记本,316595
155,9.0,完美的世界,92168
156,8.8,玩具总动员3,212634
157,8.6,蝙蝠侠：黑暗骑士崛起,327742
158,8.5,花样年华,274362
159,8.6,时空恋旅人,230901
160,8.8,魂断蓝桥,141059
161,8.5,猜火车,268683
162,8.6,穿越时空的少女,203392
163,9.0,雨中曲,101699
164,8.7,达拉斯买家俱乐部,206771
165,8.7,二十二,120076
166,8.8,我是山姆,117303
167,8.6,人工智能,210315
168,8.5,冰川时代,302754
169,9.1,无人知晓,79922
170,8.7,浪潮,146050
171,8.7,血战钢锯岭,361280
172,8.6,爆裂鼓手,264631
173,8.5,朗读者,297805
174,8.4,香水,303131
175,8.7,罗生门,140241
176,8.8,未麻的部屋,111951
177,8.5,阿飞正传,231456
178,8.6,被解救的姜戈,285071
179,8.7,可可西里,142184
180,8.7,一次别离,144507
181,8.7,头脑特工队,258913
182,8.4,恐怖游轮,364402
183,8.9,追随,89857
184,8.6,撞车,188107
185,8.6,战争之王,189345
186,8.8,房间,177463
187,8.8,地球上的星星,94974
188,8.7,梦之安魂曲,122024
189,8.8,牯岭街少年杀人事件,118708
190,8.5,魔女宅急便,216684
191,8.4,你的名字。,545587
192,8.5,谍影重重,210818
193,9.0,忠犬八公物语,68855
194,8.6,模仿游戏,284127
195,8.6,谍影重重2,175099
196,8.7,一个叫欧维的男人决定去死,140056
197,8.4,青蛇,245741
198,8.9,惊魂记,93175
199,8.6,完美陌生人,230056
200,8.9,哪吒闹海,90992
201,8.5,再次出发之纽约遇见你,191980
202,8.5,小萝莉的猴神大叔,185470
203,9.2,东京物语,57154
204,8.5,黑客帝国3：矩阵革命,173165
205,8.3,源代码,442192
206,8.5,新龙门客栈,204261
207,8.6,终结者2：审判日,154360
208,8.7,末路狂花,115038
209,8.3,秒速5厘米,332142
210,8.7,碧海蓝天,113031
211,8.7,绿里奇迹,117042
212,8.8,步履不停,94507
213,8.5,这个男人来自地球,199930
214,8.6,勇闯夺命岛,153176
215,9.2,城市之光,49696
216,8.6,海盗电台,175220
217,8.3,初恋这件小事,505378
218,8.4,无耻混蛋,242330
219,8.6,卡萨布兰卡,135072
220,8.7,海街日记,151796
221,8.7,无敌破坏王,204193
222,8.4,变脸,231078
223,8.8,爱在午夜降临前,129198
224,8.5,E.T. 外星人,168152
225,8.3,疯狂的石头,350518
226,8.5,发条橙,200274
227,9.1,黄金三镖客,56771
228,8.5,美国丽人,200098
229,8.6,荒野生存,137268
230,9.1,迁徙的鸟,54719
231,8.5,英国病人,185162
232,8.4,彗星来的那一夜,203799
233,8.3,国王的演讲,367876
234,8.5,血钻,146786
235,8.6,非常嫌疑犯,126521
236,8.8,聚焦,140901
237,8.6,燕尾蝶,113150
238,8.9,勇士,93539
239,8.3,穆赫兰道,252808
240,8.6,叫我第一名,116752
241,8.5,遗愿清单,143646
242,8.6,黑鹰坠落,128407
243,8.6,枪火,108511
244,9.0,我爱你,64124
245,8.6,上帝也疯狂,102872
246,8.5,荒岛余生,147612
247,8.6,大卫·戈尔的一生,103922
248,8.7,千钧一发,95093
249,8.7,2001太空漫游,103658
250,8.3,蓝色大门,287246
